State,City,Income Group,Age Group,Daily Commute (km),EV Awareness Score,Charging Stations Density (per 100 sq km),Preferred EV Type,Govt Incentive Awareness,EV Sales (2024),ICE to EV Switch (%),Target Segment
Karnataka,Bangalore,Mid,50+,25,8.1,8,Sedan/SUV,Yes,3936,10.7,Frequent Commuter
Karnataka,Bangalore,Low,26-35,22,7.2,4,Scooter/Bike,Yes,9446,13.8,Budget Segment
Karnataka,Bangalore,High,26-35,10,8.8,12,Scooter/Bike,Yes,13373,18.1,General Segment
Karnataka,Bangalore,Low,26-35,29,9.2,18,Sedan/SUV,Yes,4976,15.7,Budget Segment
Karnataka,Bangalore,Mid,26-35,7,8,10,Sedan/SUV,No,10650,5.2,Mid-range Consumer
Karnataka,Bangalore,Low,50+,16,9.4,5,Sedan/SUV,No,7459,11,Budget Segment
Karnataka,Bangalore,High,26-35,13,8.3,14,Sedan/SUV,No,9647,18,Premium Segment
Karnataka,Bangalore,Mid,50+,31,9.2,15,Truck/Commercial,No,2837,10.1,Frequent Commuter
Karnataka,Bangalore,High,18-25,35,7,15,Sedan/SUV,No,13778,18.3,Premium Segment
Karnataka,Bangalore,Low,26-35,38,6.4,7,Scooter/Bike,No,12907,10.1,Budget Segment
Karnataka,Bangalore,High,50+,27,9.1,8,Sedan/SUV,No,8090,7.3,Premium Segment
Karnataka,Bangalore,Mid,18-25,32,6.6,5,Truck/Commercial,No,7138,18.6,Frequent Commuter
Karnataka,Bangalore,Low,18-25,39,7.8,8,Truck/Commercial,Yes,6108,9.6,Budget Segment
Delhi,Delhi ,Low,50+,17,5.8,12,Sedan/SUV,Yes,11442,17.7,Budget Segment
Delhi,Delhi ,Mid,50+,9,5.5,8,Truck/Commercial,No,4601,18.7,Mid-range Consumer
Delhi,Delhi ,Mid,26-35,11,5.5,20,Sedan/SUV,No,11652,11,Mid-range Consumer
Delhi,Delhi ,Low,36-50,40,8,18,Truck/Commercial,Yes,5756,15.5,Budget Segment
Delhi,Delhi ,High,36-50,8,5.3,15,Sedan/SUV,No,7226,7.4,Premium Segment
Delhi,Delhi ,Low,18-25,30,6.1,19,Scooter/Bike,Yes,1662,16.9,Budget Segment
Delhi,Delhi ,Low,26-35,39,8.2,10,Truck/Commercial,No,7378,12.3,Budget Segment
Delhi,Delhi ,Mid,36-50,20,6.1,7,Truck/Commercial,Yes,1579,12.4,Mid-range Consumer
Delhi,Delhi ,Low,26-35,21,5.1,4,Scooter/Bike,Yes,11083,6.5,Budget Segment
Delhi,Delhi ,Low,36-50,14,7.8,17,Truck/Commercial,No,9299,9.4,Budget Segment
Delhi,Delhi ,High,36-50,17,7.2,6,Truck/Commercial,Yes,8156,6,General Segment
Delhi,Delhi ,Mid,18-25,13,9.4,4,Truck/Commercial,No,8932,13.7,Mid-range Consumer
Delhi,Delhi ,Mid,26-35,36,5.7,14,Scooter/Bike,No,7422,19.8,Frequent Commuter
Delhi,Delhi ,Mid,50+,32,6.8,6,Truck/Commercial,No,5287,7.8,Frequent Commuter
Delhi,Delhi ,Mid,26-35,16,9.3,10,Sedan/SUV,Yes,3037,11.5,Mid-range Consumer
Delhi,Delhi ,High,26-35,9,7.4,8,Truck/Commercial,Yes,11316,7.1,General Segment
Delhi,Delhi ,High,18-25,19,7.9,19,Truck/Commercial,Yes,9773,8.9,General Segment
Delhi,Delhi ,High,18-25,24,8.7,3,Sedan/SUV,Yes,9730,16.3,Premium Segment
Delhi,Delhi ,Mid,26-35,37,6.7,6,Truck/Commercial,Yes,5139,6.3,Frequent Commuter
Delhi,Delhi ,Mid,18-25,8,8.6,12,Truck/Commercial,No,12430,12.3,Mid-range Consumer
Delhi,Delhi ,Low,50+,9,6.5,18,Sedan/SUV,No,11915,16.1,Budget Segment
Delhi,Delhi ,Mid,26-35,28,8.8,8,Truck/Commercial,Yes,8713,12,Frequent Commuter
Delhi,Delhi ,Low,18-25,40,5.4,4,Truck/Commercial,No,14106,9.6,Budget Segment
Delhi,Delhi ,High,18-25,11,8.2,13,Truck/Commercial,Yes,13192,14.1,General Segment
Delhi,Delhi ,Mid,18-25,34,6.1,19,Scooter/Bike,Yes,11161,6,Frequent Commuter
Delhi,Delhi ,High,50+,11,9.5,7,Sedan/SUV,No,8668,7.4,Premium Segment
Delhi,Delhi ,Mid,26-35,5,8.3,9,Sedan/SUV,No,14857,13.6,Mid-range Consumer
Delhi,Delhi ,High,50+,33,6,7,Sedan/SUV,Yes,13365,15.4,Premium Segment
Delhi,Delhi ,Mid,18-25,31,9.5,10,Truck/Commercial,Yes,5756,18.6,Frequent Commuter
Delhi,Delhi ,Mid,26-35,21,8.4,14,Sedan/SUV,No,9427,17.2,Frequent Commuter
Delhi,Delhi ,High,18-25,5,6.9,7,Sedan/SUV,Yes,9781,6.5,Premium Segment
Delhi,Delhi ,High,18-25,36,9,13,Truck/Commercial,Yes,1409,19.8,General Segment
Delhi,Delhi ,Low,36-50,11,6,20,Truck/Commercial,Yes,7958,10.8,Budget Segment
Delhi,Delhi ,Low,18-25,29,5.4,10,Scooter/Bike,No,10134,12.7,Budget Segment
Delhi,Delhi ,Low,18-25,14,9.2,9,Sedan/SUV,No,9817,15.1,Budget Segment
Delhi,Delhi ,High,50+,6,7.5,13,Scooter/Bike,Yes,13256,8.5,General Segment
Delhi,Delhi ,Mid,26-35,30,6.9,16,Truck/Commercial,Yes,6984,5.3,Frequent Commuter
Delhi,Delhi ,High,36-50,16,9.4,7,Sedan/SUV,Yes,2262,19.1,Premium Segment
Delhi,Delhi ,Low,18-25,38,7,6,Scooter/Bike,No,1829,8.6,Budget Segment
Delhi,Delhi ,Low,18-25,27,5.9,17,Sedan/SUV,No,3820,12.2,Budget Segment
Delhi,Delhi ,High,50+,32,5.8,14,Truck/Commercial,No,5352,10.9,General Segment
Delhi,Delhi ,High,18-25,30,8.3,13,Truck/Commercial,No,6041,12.5,General Segment
Delhi,Delhi ,High,50+,12,5.3,11,Scooter/Bike,Yes,10747,17.3,General Segment
Delhi,Delhi ,Mid,36-50,23,8.7,5,Truck/Commercial,No,10040,15.4,Frequent Commuter
Delhi,Delhi ,High,18-25,26,5.6,5,Sedan/SUV,Yes,4412,17.1,Premium Segment
Delhi,Delhi ,Mid,50+,27,5.6,13,Sedan/SUV,No,3897,19.3,Frequent Commuter
Delhi,Delhi ,High,50+,31,8.5,19,Scooter/Bike,Yes,8360,16.7,General Segment
Delhi,Delhi ,Low,50+,12,5.4,6,Sedan/SUV,No,9271,14.5,Budget Segment
Delhi,Delhi ,Mid,36-50,13,6.5,13,Truck/Commercial,Yes,11796,10.5,Mid-range Consumer
Delhi,Delhi ,Mid,36-50,16,5.7,4,Sedan/SUV,Yes,12632,5.5,Mid-range Consumer
Maharashtra,Mumbai,Low,26-35,11,9,10,Truck/Commercial,Yes,1674,18.5,Budget Segment
Maharashtra,Mumbai,Low,50+,12,6.7,5,Sedan/SUV,No,10096,16.6,Budget Segment
Maharashtra,Mumbai,High,26-35,5,9,7,Scooter/Bike,No,14236,5.7,General Segment
Maharashtra,Mumbai,Low,50+,5,7.5,8,Truck/Commercial,Yes,6258,11.3,Budget Segment
Maharashtra,Mumbai,Low,50+,20,6.7,3,Scooter/Bike,Yes,3491,12.2,Budget Segment
Maharashtra,Mumbai,Low,18-25,19,6.9,6,Scooter/Bike,Yes,10012,10.3,Budget Segment
Maharashtra,Mumbai,Low,50+,21,7.2,5,Truck/Commercial,No,2311,15.9,Budget Segment
Maharashtra,Mumbai,Mid,18-25,31,5.3,8,Sedan/SUV,No,7847,5.9,Frequent Commuter
Maharashtra,Mumbai,Low,18-25,9,6.6,6,Truck/Commercial,Yes,6270,12.8,Budget Segment
Maharashtra,Mumbai,Low,26-35,40,7.7,11,Scooter/Bike,Yes,11789,6,Budget Segment
Maharashtra,Mumbai,Low,50+,34,6.3,12,Truck/Commercial,No,6556,17.3,Budget Segment
Maharashtra,Mumbai,High,50+,11,7.9,3,Sedan/SUV,No,9506,7.8,Premium Segment
Maharashtra,Mumbai,Mid,18-25,10,5.7,7,Truck/Commercial,Yes,13748,5.8,Mid-range Consumer
Maharashtra,Mumbai,Mid,26-35,14,9.3,14,Sedan/SUV,Yes,4223,5.6,Mid-range Consumer
Maharashtra,Mumbai,Low,18-25,16,5.9,14,Scooter/Bike,No,3237,17.2,Budget Segment
Maharashtra,Mumbai,Mid,36-50,11,6.9,12,Sedan/SUV,Yes,1824,14.5,Mid-range Consumer
Maharashtra,Mumbai,Mid,18-25,26,8.6,17,Truck/Commercial,Yes,12712,19.9,Frequent Commuter
Maharashtra,Mumbai,Low,36-50,18,8.6,20,Truck/Commercial,No,3827,7.1,Budget Segment
Maharashtra,Mumbai,Low,36-50,8,8.4,18,Truck/Commercial,Yes,8960,18.3,Budget Segment
Maharashtra,Mumbai,Low,26-35,14,5.6,10,Scooter/Bike,Yes,12552,18.9,Budget Segment
Maharashtra,Mumbai,High,36-50,23,7.1,13,Sedan/SUV,No,5396,10.6,Premium Segment
Maharashtra,Mumbai,Mid,36-50,9,7.2,18,Truck/Commercial,Yes,2968,14.9,Mid-range Consumer
Maharashtra,Mumbai,Low,26-35,8,7,11,Scooter/Bike,No,5873,19.1,Budget Segment
Maharashtra,Mumbai,Mid,26-35,33,6.8,18,Truck/Commercial,Yes,11940,13.1,Frequent Commuter
Maharashtra,Mumbai,High,26-35,19,8.7,10,Scooter/Bike,Yes,8067,17.2,General Segment
Maharashtra,Mumbai,High,50+,20,5.8,15,Scooter/Bike,No,12069,17.2,General Segment
Maharashtra,Mumbai,Low,36-50,40,9,16,Sedan/SUV,Yes,8949,8,Budget Segment
Maharashtra,Mumbai,High,26-35,40,6.2,15,Scooter/Bike,Yes,4609,14.3,General Segment
Maharashtra,Mumbai,High,36-50,32,7.1,14,Sedan/SUV,Yes,13298,8.5,Premium Segment
Maharashtra,Mumbai,High,18-25,12,7.3,7,Truck/Commercial,No,12503,9.9,General Segment
Maharashtra,Mumbai,Low,50+,10,7.8,15,Truck/Commercial,No,14649,9.8,Budget Segment
Maharashtra,Mumbai,Low,18-25,33,8.5,12,Scooter/Bike,Yes,2934,16.8,Budget Segment
Maharashtra,Mumbai,Mid,18-25,40,5.5,20,Sedan/SUV,Yes,3426,17.4,Frequent Commuter
Maharashtra,Mumbai,High,18-25,12,7,7,Scooter/Bike,No,1056,6.2,General Segment
Maharashtra,Mumbai,Low,18-25,36,5.2,16,Scooter/Bike,Yes,14959,15,Budget Segment
Maharashtra,Mumbai,High,36-50,6,7.9,18,Scooter/Bike,No,8511,7.5,General Segment
Maharashtra,Mumbai,Low,36-50,18,8.7,13,Sedan/SUV,Yes,7632,6.8,Budget Segment
Maharashtra,Mumbai,High,18-25,30,7.1,3,Sedan/SUV,No,1381,13,Premium Segment
Maharashtra,Mumbai,Mid,18-25,30,5.2,17,Scooter/Bike,Yes,11358,7.7,Frequent Commuter
Maharashtra,Mumbai,Mid,26-35,28,8.2,18,Sedan/SUV,No,7317,6,Frequent Commuter
Maharashtra,Mumbai,High,18-25,18,5.7,5,Sedan/SUV,No,14746,15,Premium Segment
Maharashtra,Mumbai,Low,50+,15,9.2,10,Sedan/SUV,Yes,5222,10.5,Budget Segment
Maharashtra,Mumbai,Mid,36-50,28,5.1,11,Sedan/SUV,No,8245,11,Frequent Commuter
Maharashtra,Mumbai,High,36-50,19,8.4,9,Truck/Commercial,Yes,14396,19.3,General Segment
Maharashtra,Mumbai,High,26-35,19,8.6,5,Sedan/SUV,No,8322,9.8,Premium Segment
Maharashtra,Mumbai,High,50+,30,6.4,12,Truck/Commercial,Yes,6404,5.4,General Segment
Maharashtra,Mumbai,Low,36-50,19,5.4,18,Truck/Commercial,No,3557,9.9,Budget Segment
Maharashtra,Mumbai,Mid,18-25,24,6.3,17,Truck/Commercial,No,14436,12,Frequent Commuter
Maharashtra,Mumbai,High,50+,15,8.3,18,Scooter/Bike,Yes,3596,15.5,General Segment
Maharashtra,Mumbai,Low,18-25,28,8.1,14,Sedan/SUV,No,13091,12.6,Budget Segment
Rajasthan,Jaipur,Low,26-35,6,9.2,17,Scooter/Bike,Yes,1014,5.5,Budget Segment
Rajasthan,Jaipur,Low,36-50,33,7.9,11,Sedan/SUV,No,3538,12.8,Budget Segment
Rajasthan,Jaipur,Mid,50+,39,9.5,16,Scooter/Bike,No,14701,11.2,Frequent Commuter
Rajasthan,Jaipur,Mid,50+,25,7.2,4,Sedan/SUV,No,12348,6.4,Frequent Commuter
Rajasthan,Jaipur,Low,26-35,22,7.4,6,Sedan/SUV,No,8666,15.2,Budget Segment
Rajasthan,Jaipur,Mid,26-35,18,6.7,9,Scooter/Bike,No,12578,12.3,Mid-range Consumer
Rajasthan,Jaipur,High,18-25,36,7,13,Scooter/Bike,Yes,10891,17.9,General Segment
Rajasthan,Jaipur,High,50+,18,7.5,9,Truck/Commercial,Yes,14087,5.6,General Segment
Rajasthan,Jaipur,Low,18-25,16,5.5,11,Sedan/SUV,No,11308,13.9,Budget Segment
Rajasthan,Jaipur,Low,36-50,34,8.7,3,Scooter/Bike,No,11585,17.3,Budget Segment
Rajasthan,Jaipur,High,18-25,34,7.4,16,Scooter/Bike,Yes,11334,9.2,General Segment
Rajasthan,Jaipur,Low,26-35,36,5.4,18,Scooter/Bike,Yes,9745,7.9,Budget Segment
Rajasthan,Jaipur,Low,50+,11,6.7,13,Truck/Commercial,No,6844,16.8,Budget Segment
Rajasthan,Jaipur,High,26-35,13,6.2,13,Scooter/Bike,Yes,3542,14.5,General Segment
Rajasthan,Jaipur,High,36-50,28,5.8,8,Sedan/SUV,Yes,1888,10.4,Premium Segment
Rajasthan,Jaipur,High,18-25,32,9.1,10,Truck/Commercial,Yes,7544,12.3,General Segment
Rajasthan,Jaipur,Low,26-35,11,8.6,5,Sedan/SUV,Yes,13897,6.1,Budget Segment
Rajasthan,Jaipur,Low,50+,38,8.4,8,Scooter/Bike,Yes,7614,14.7,Budget Segment
Rajasthan,Jaipur,Low,26-35,13,7.2,19,Sedan/SUV,Yes,8121,9.4,Budget Segment
Rajasthan,Jaipur,Mid,26-35,6,5.1,17,Sedan/SUV,No,1101,17.2,Mid-range Consumer
Rajasthan,Jaipur,Mid,50+,30,5.2,17,Scooter/Bike,Yes,7503,7.1,Frequent Commuter
Rajasthan,Jaipur,High,36-50,24,8.9,8,Sedan/SUV,Yes,6616,10.7,Premium Segment
Rajasthan,Jaipur,Low,26-35,15,8.8,16,Sedan/SUV,No,14042,5.6,Budget Segment
Rajasthan,Jaipur,Low,36-50,9,8.7,6,Truck/Commercial,Yes,3089,8.2,Budget Segment
Rajasthan,Jaipur,Mid,18-25,7,6.4,18,Truck/Commercial,Yes,8518,7.1,Mid-range Consumer
Rajasthan,Jaipur,High,26-35,37,8.2,6,Scooter/Bike,Yes,5783,11.4,General Segment
Rajasthan,Jaipur,Low,18-25,22,5.6,14,Sedan/SUV,No,14323,9.7,Budget Segment
Rajasthan,Jaipur,High,36-50,25,7.8,14,Sedan/SUV,Yes,4554,19.4,Premium Segment
Rajasthan,Jaipur,Low,50+,37,5.4,7,Scooter/Bike,Yes,4468,9.1,Budget Segment
Rajasthan,Jaipur,Low,18-25,15,6.7,18,Truck/Commercial,No,3676,14.6,Budget Segment
Rajasthan,Jaipur,Mid,26-35,7,9,19,Truck/Commercial,No,12229,15.5,Mid-range Consumer
Rajasthan,Jaipur,Low,50+,6,8.3,5,Truck/Commercial,Yes,3335,15.3,Budget Segment
Rajasthan,Jaipur,Low,36-50,27,5.5,15,Truck/Commercial,Yes,6063,6,Budget Segment
Rajasthan,Jaipur,Mid,18-25,22,9.4,6,Truck/Commercial,No,9773,19.1,Frequent Commuter
Rajasthan,Jaipur,Mid,26-35,36,6,16,Sedan/SUV,No,11640,5.6,Frequent Commuter
Rajasthan,Jaipur,Low,18-25,20,5.1,15,Scooter/Bike,Yes,12965,12.8,Budget Segment
Rajasthan,Jaipur,Mid,18-25,9,7.9,17,Sedan/SUV,Yes,5491,8.7,Mid-range Consumer
Rajasthan,Jaipur,Mid,18-25,9,7.5,8,Scooter/Bike,Yes,7164,7.8,Mid-range Consumer
Rajasthan,Jaipur,Mid,50+,20,7.8,8,Truck/Commercial,Yes,8492,8.4,Mid-range Consumer
Rajasthan,Jaipur,Low,50+,20,6.3,20,Truck/Commercial,Yes,3551,5.1,Budget Segment
Rajasthan,Jaipur,Mid,50+,31,9.5,5,Truck/Commercial,Yes,10426,6,Frequent Commuter
Rajasthan,Jaipur,Mid,18-25,33,7.4,20,Sedan/SUV,Yes,7862,17.1,Frequent Commuter
Rajasthan,Jaipur,High,36-50,28,9,15,Scooter/Bike,Yes,8556,10,General Segment
Rajasthan,Jaipur,High,26-35,22,7,16,Scooter/Bike,Yes,5511,17.9,General Segment
Rajasthan,Jaipur,Low,26-35,5,8.4,4,Truck/Commercial,No,13000,10.1,Budget Segment
Rajasthan,Jaipur,Mid,50+,5,7.2,16,Scooter/Bike,Yes,8226,9.8,Mid-range Consumer
Rajasthan,Jaipur,Mid,50+,11,5.5,4,Sedan/SUV,Yes,11534,19.1,Mid-range Consumer
Rajasthan,Jaipur,High,50+,10,6.6,10,Scooter/Bike,No,13566,13.5,General Segment
Rajasthan,Jaipur,Low,36-50,28,8.6,8,Sedan/SUV,Yes,8771,6.4,Budget Segment
Rajasthan,Jaipur,Low,36-50,27,8.2,14,Truck/Commercial,Yes,12426,19.5,Budget Segment
Telangana,Hyderabad,High,36-50,5,6.1,13,Scooter/Bike,No,5309,6.1,General Segment
Telangana,Hyderabad,High,18-25,31,6.5,14,Scooter/Bike,Yes,8630,17.3,General Segment
Telangana,Hyderabad,Mid,36-50,14,7.2,18,Scooter/Bike,Yes,8769,5.9,Mid-range Consumer
Telangana,Hyderabad,High,26-35,20,6.9,19,Scooter/Bike,Yes,11061,12.1,General Segment
Telangana,Hyderabad,High,18-25,33,5.7,11,Scooter/Bike,No,6967,11.7,General Segment
Telangana,Hyderabad,Mid,18-25,35,5.2,4,Scooter/Bike,No,9769,6,Frequent Commuter
Telangana,Hyderabad,Low,18-25,27,6.3,12,Sedan/SUV,No,6490,15.4,Budget Segment
Telangana,Hyderabad,High,18-25,33,9.3,19,Scooter/Bike,Yes,2261,13,General Segment
Telangana,Hyderabad,High,36-50,17,8.3,15,Truck/Commercial,No,1860,14.4,General Segment
Telangana,Hyderabad,Low,18-25,35,5.6,17,Truck/Commercial,No,8551,19.2,Budget Segment
Telangana,Hyderabad,High,26-35,11,8.1,12,Scooter/Bike,Yes,1732,16.3,General Segment
Telangana,Hyderabad,Mid,50+,38,6.3,17,Sedan/SUV,No,3883,15.1,Frequent Commuter
Telangana,Hyderabad,Low,26-35,37,8.4,9,Truck/Commercial,No,14849,19.9,Budget Segment
Telangana,Hyderabad,High,18-25,37,7.9,20,Sedan/SUV,No,4366,18.7,Premium Segment
Telangana,Hyderabad,Low,26-35,17,9.5,13,Scooter/Bike,Yes,3941,14.6,Budget Segment
Telangana,Hyderabad,High,18-25,37,5.9,15,Scooter/Bike,Yes,8756,18.3,General Segment
Telangana,Hyderabad,High,26-35,39,5.9,15,Scooter/Bike,No,13023,7.3,General Segment
Telangana,Hyderabad,Low,50+,12,6,14,Sedan/SUV,Yes,12973,16.7,Budget Segment
Telangana,Hyderabad,Mid,36-50,21,5.6,11,Scooter/Bike,No,1272,9.1,Frequent Commuter
Telangana,Hyderabad,High,18-25,24,6,11,Sedan/SUV,No,1641,19.6,Premium Segment
Telangana,Hyderabad,High,26-35,9,8.4,16,Sedan/SUV,No,8980,13.3,Premium Segment
Telangana,Hyderabad,High,18-25,7,8.1,7,Sedan/SUV,Yes,13525,6.2,Premium Segment
Telangana,Hyderabad,Mid,36-50,13,7.7,9,Truck/Commercial,Yes,5410,8,Mid-range Consumer
Telangana,Hyderabad,Mid,18-25,29,6.1,12,Truck/Commercial,No,1739,19.9,Frequent Commuter
Telangana,Hyderabad,High,36-50,21,8.4,5,Scooter/Bike,Yes,4846,6.8,General Segment
Telangana,Hyderabad,Low,36-50,17,8.2,15,Truck/Commercial,No,7029,19.5,Budget Segment
Telangana,Hyderabad,Mid,18-25,9,8.8,18,Sedan/SUV,Yes,4960,12.2,Mid-range Consumer
Telangana,Hyderabad,High,50+,34,7.8,12,Scooter/Bike,No,11609,19.5,General Segment
Telangana,Hyderabad,Low,50+,17,6.9,7,Truck/Commercial,Yes,3581,11.8,Budget Segment
Telangana,Hyderabad,Mid,26-35,6,7.5,6,Truck/Commercial,No,14812,18.6,Mid-range Consumer
Telangana,Hyderabad,High,50+,22,9.3,10,Scooter/Bike,No,14324,9.2,General Segment
Telangana,Hyderabad,Mid,50+,31,8.9,19,Sedan/SUV,No,8342,5.3,Frequent Commuter
Telangana,Hyderabad,Low,18-25,8,5.1,12,Truck/Commercial,Yes,11593,13.5,Budget Segment
Telangana,Hyderabad,Mid,50+,28,6.4,13,Scooter/Bike,No,14257,6.2,Frequent Commuter
Telangana,Hyderabad,High,26-35,16,5.9,10,Truck/Commercial,Yes,5569,8,General Segment
Telangana,Hyderabad,High,36-50,19,6.4,17,Scooter/Bike,Yes,3810,19.3,General Segment
Telangana,Hyderabad,High,18-25,8,7.5,12,Sedan/SUV,Yes,11761,16.4,Premium Segment
Telangana,Hyderabad,Low,50+,29,8,9,Scooter/Bike,No,3003,11.1,Budget Segment
Telangana,Hyderabad,High,50+,24,5.4,15,Scooter/Bike,Yes,6560,14.8,General Segment
Telangana,Hyderabad,Mid,26-35,25,7.7,9,Scooter/Bike,Yes,9441,17.4,Frequent Commuter
Telangana,Hyderabad,Low,36-50,35,5,19,Truck/Commercial,Yes,2521,6.8,Budget Segment
Telangana,Hyderabad,Mid,18-25,39,7.2,5,Truck/Commercial,Yes,9743,5.4,Frequent Commuter
Telangana,Hyderabad,Low,36-50,35,7.2,20,Truck/Commercial,Yes,2345,5.9,Budget Segment
Telangana,Hyderabad,High,50+,13,8.3,6,Sedan/SUV,No,12775,17.6,Premium Segment
Telangana,Hyderabad,Mid,18-25,40,7.4,11,Truck/Commercial,Yes,10612,7.6,Frequent Commuter
Telangana,Hyderabad,Low,26-35,27,6,3,Scooter/Bike,Yes,13857,14,Budget Segment
Telangana,Hyderabad,Mid,18-25,34,8.3,8,Scooter/Bike,No,5135,15.3,Frequent Commuter
Telangana,Hyderabad,Low,18-25,39,5.4,8,Sedan/SUV,Yes,10027,8.6,Budget Segment
Telangana,Hyderabad,Low,50+,7,7.9,5,Truck/Commercial,Yes,5945,8.9,Budget Segment
Telangana,Hyderabad,Low,36-50,32,9.5,18,Truck/Commercial,No,3578,14.8,Budget Segment
Maharashtra,Mumbai,High,18-25,6,8.7,16,Truck/Commercial,Yes,3617,7.8,General Segment
Maharashtra,Mumbai,High,36-50,32,7.4,15,Sedan/SUV,No,8521,16.9,Premium Segment
Maharashtra,Mumbai,High,26-35,34,5.5,9,Scooter/Bike,Yes,2611,5.9,General Segment
Maharashtra,Mumbai,Low,26-35,19,6.3,7,Truck/Commercial,Yes,14653,10,Budget Segment
Maharashtra,Mumbai,Mid,36-50,5,5.7,16,Scooter/Bike,Yes,1963,8.6,Mid-range Consumer
Maharashtra,Mumbai,Low,50+,28,5,11,Sedan/SUV,Yes,3549,15.9,Budget Segment
Maharashtra,Mumbai,High,36-50,24,5.1,7,Truck/Commercial,No,8044,10.2,General Segment
Maharashtra,Mumbai,High,26-35,16,5,4,Scooter/Bike,No,9376,5.9,General Segment
Maharashtra,Mumbai,Low,26-35,21,7.9,19,Scooter/Bike,No,13413,6.7,Budget Segment
Maharashtra,Mumbai,Low,50+,37,7.9,16,Scooter/Bike,Yes,9457,13.7,Budget Segment
